CustomerKey,GeographyKey,CustomerAlternateKey,fullname,gender,EmailAddress,EnglishOccupation,DateFirstPurchase,City,EnglishCountryRegionName
11000,26,AW00011000,Jon V. Yang,Male,jon24@adventure-works.com,Professional,2011-01-19,Rockhampton,Australia
11001,37,AW00011001,Eugene L. Huang,Male,eugene10@adventure-works.com,Professional,2011-01-15,Seaford,Australia
11002,31,AW00011002,Ruben   Torres,Male,ruben35@adventure-works.com,Professional,2011-01-07,Hobart,Australia
11003,11,AW00011003,Christy   Zhu,Female,christy12@adventure-works.com,Professional,2010-12-29,North Ryde,Australia
11004,19,AW00011004,Elizabeth   Johnson,Female,elizabeth5@adventure-works.com,Professional,2011-01-23,Wollongong,Australia
11005,22,AW00011005,Julio   Ruiz,Male,julio1@adventure-works.com,Professional,2010-12-30,East Brisbane,Australia
11006,8,AW00011006,Janet G. Alvarez,Female,janet9@adventure-works.com,Professional,2011-01-24,Matraville,Australia
11007,40,AW00011007,Marco   Mehta,Male,marco14@adventure-works.com,Professional,2011-01-09,Warrnambool,Australia
11008,32,AW00011008,Rob   Verhoff,Female,rob4@adventure-works.com,Professional,2011-01-25,Bendigo,Australia
11009,25,AW00011009,Shannon C. Carlson,Male,shannon38@adventure-works.com,Professional,2011-01-27,Hervey Bay,Australia
11010,22,AW00011010,Jacquelyn C. Suarez,Female,jacquelyn20@adventure-works.com,Professional,2011-01-14,East Brisbane,Australia
11011,22,AW00011011,Curtis   Lu,Male,curtis9@adventure-works.com,Professional,2010-12-30,East Brisbane,Australia
11012,611,AW00011012,Lauren M. Walker,Female,lauren41@adventure-works.com,Management,2013-03-16,Bremerton,United States
11013,543,AW00011013,Ian M. Jenkins,Male,ian47@adventure-works.com,Management,2013-04-13,Lebanon,United States
11014,634,AW00011014,Sydney   Bennett,Female,sydney23@adventure-works.com,Management,2013-03-23,Redmond,United States
11015,301,AW00011015,Chloe   Young,Female,chloe23@adventure-works.com,Skilled Manual,2013-01-18,Burbank,United States
11016,329,AW00011016,Wyatt L. Hill,Male,wyatt32@adventure-works.com,Skilled Manual,2013-02-09,Imperial Beach,United States
11017,39,AW00011017,Shannon   Wang,Female,shannon1@adventure-works.com,Skilled Manual,2011-01-12,Sunbury,Australia
11018,32,AW00011018,Clarence D. Rai,Male,clarence32@adventure-works.com,Clerical,2011-01-17,Bendigo,Australia
11019,52,AW00011019,Luke L. Lal,Male,luke18@adventure-works.com,Skilled Manual,2013-02-12,Langley,Canada
11020,53,AW00011020,Jordan C. King,Male,jordan73@adventure-works.com,Skilled Manual,2012-12-29,Metchosin,Canada
11021,536,AW00011021,Destiny   Wilson,Female,destiny7@adventure-works.com,Skilled Manual,2013-01-23,Beaverton,United States
11022,609,AW00011022,Ethan G. Zhang,Male,ethan20@adventure-works.com,Skilled Manual,2013-01-20,Bellingham,United States
11023,298,AW00011023,Seth M. Edwards,Male,seth46@adventure-works.com,Skilled Manual,2013-02-17,Bellflower,United States
11024,311,AW00011024,Russell   Xie,Male,russell7@adventure-works.com,Skilled Manual,2013-06-27,Concord,United States
11025,24,AW00011025,Alejandro   Beck,Male,alejandro45@adventure-works.com,Clerical,2011-01-06,Hawthorne,Australia
11026,4,AW00011026,Harold   Sai,Male,harold3@adventure-works.com,Clerical,2011-01-23,Goulburn,Australia
11027,40,AW00011027,Jessie R. Zhao,Male,jessie16@adventure-works.com,Clerical,2011-01-16,Warrnambool,Australia
11028,17,AW00011028,Jill   Jimenez,Female,jill13@adventure-works.com,Clerical,2011-01-26,St. Leonards,Australia
11029,32,AW00011029,Jimmy L. Moreno,Male,jimmy9@adventure-works.com,Clerical,2011-01-19,Bendigo,Australia
11030,28,AW00011030,Bethany G. Yuan,Female,bethany10@adventure-works.com,Clerical,2011-02-05,Cloverdale,Australia
11031,8,AW00011031,Theresa G. Ramos,Female,theresa13@adventure-works.com,Skilled Manual,2011-02-01,Matraville,Australia
11032,35,AW00011032,Denise   Stone,Female,denise10@adventure-works.com,Skilled Manual,2011-02-18,Melbourne,Australia
11033,9,AW00011033,Jaime   Nath,Male,jaime41@adventure-works.com,Skilled Manual,2011-02-15,Milsons Point,Australia
11034,12,AW00011034,Ebony   Gonzalez,Female,ebony19@adventure-works.com,Skilled Manual,2011-02-01,North Sydney,Australia
11035,33,AW00011035,Wendy   Dominguez,Female,wendy12@adventure-works.com,Clerical,2011-02-06,Cranbourne,Australia
11036,343,AW00011036,Jennifer C. Russell,Female,jennifer93@adventure-works.com,Skilled Manual,2013-01-22,National City,United States
11037,49,AW00011037,Chloe M. Garcia,Female,chloe27@adventure-works.com,Clerical,2013-01-20,Cliffside,Canada
11038,6,AW00011038,Diana F. Hernandez,Female,diana2@adventure-works.com,Clerical,2011-02-07,Lavender Bay,Australia
11039,19,AW00011039,Marc J. Martin,Male,marc3@adventure-works.com,Clerical,2011-02-07,Wollongong,Australia
11040,642,AW00011040,Jesse   Murphy,Male,jesse15@adventure-works.com,Skilled Manual,2013-04-03,Tacoma,United States
11041,325,AW00011041,Amanda M. Carter,Female,amanda53@adventure-works.com,Skilled Manual,2013-01-14,Glendale,United States
11042,338,AW00011042,Megan J. Sanchez,Female,megan28@adventure-works.com,Skilled Manual,2013-01-21,Los Angeles,United States
11043,325,AW00011043,Nathan M. Simmons,Male,nathan11@adventure-works.com,Skilled Manual,2013-05-08,Glendale,United States
11044,25,AW00011044,Adam L. Flores,Male,adam10@adventure-works.com,Clerical,2011-02-28,Hervey Bay,Australia
11045,8,AW00011045,Leonard G. Nara,Male,leonard18@adventure-works.com,Skilled Manual,2013-04-10,Matraville,Australia
11046,6,AW00011046,Christine   Yuan,Female,christine4@adventure-works.com,Skilled Manual,2011-02-06,Lavender Bay,Australia
11047,34,AW00011047,Jaclyn D. Lu,Female,jaclyn12@adventure-works.com,Skilled Manual,2011-02-03,Geelong,Australia
11048,39,AW00011048,Jeremy   Powell,Male,jeremy26@adventure-works.com,Skilled Manual,2011-02-10,Sunbury,Australia
11049,307,AW00011049,Carol C. Rai,Female,carol8@adventure-works.com,Clerical,2013-03-09,Chula Vista,United States
11050,31,AW00011050,Alan   Zheng,Male,alan23@adventure-works.com,Skilled Manual,2011-02-20,Hobart,Australia
11051,21,AW00011051,Daniel   Johnson,Male,daniel18@adventure-works.com,Skilled Manual,2013-12-29,Caloundra,Australia
11052,8,AW00011052,Heidi   Lopez,Female,heidi19@adventure-works.com,Clerical,2011-02-17,Matraville,Australia
11053,359,AW00011053,Ana E. Price,Female,ana0@adventure-works.com,Skilled Manual,2013-01-17,San Diego,United States
11054,34,AW00011054,Deanna   Munoz,Female,deanna33@adventure-works.com,Skilled Manual,2011-02-03,Geelong,Australia
11055,22,AW00011055,Gilbert   Raje,Male,gilbert35@adventure-works.com,Skilled Manual,2011-01-31,East Brisbane,Australia
11056,10,AW00011056,Michele L. Nath,Female,michele19@adventure-works.com,Skilled Manual,2011-02-26,Newcastle,Australia
11057,5,AW00011057,Carl J. Andersen,Male,carl12@adventure-works.com,Management,2011-02-22,Lane Cove,Australia
11058,29,AW00011058,Marc   Diaz,Male,marc6@adventure-works.com,Skilled Manual,2011-03-09,Findon,Australia
11059,27,AW00011059,Ashlee J. Andersen,Female,ashlee19@adventure-works.com,Skilled Manual,2013-02-18,Townsville,Australia
11060,40,AW00011060,Jon L. Zhou,Male,jon28@adventure-works.com,Skilled Manual,2011-03-19,Warrnambool,Australia
11061,23,AW00011061,Todd M. Gao,Male,todd14@adventure-works.com,Skilled Manual,2011-03-13,Gold Coast,Australia
11062,547,AW00011062,Noah D. Powell,Male,noah5@adventure-works.com,Skilled Manual,2013-01-07,Portland,United States
11063,634,AW00011063,Angela   Murphy,Female,angela41@adventure-works.com,Skilled Manual,2013-01-12,Redmond,United States
11064,315,AW00011064,Chase   Reed,Male,chase21@adventure-works.com,Skilled Manual,2013-01-25,Downey,United States
11065,331,AW00011065,Jessica   Henderson,Female,jessica29@adventure-works.com,Skilled Manual,2013-02-10,La Jolla,United States
11066,543,AW00011066,Grace T. Butler,Female,grace62@adventure-works.com,Professional,2013-05-31,Lebanon,United States
11067,632,AW00011067,Caleb F. Carter,Male,caleb40@adventure-works.com,Professional,2013-08-18,Port Orchard,United States
11068,40,AW00011068,Tiffany   Liang,Female,tiffany17@adventure-works.com,Skilled Manual,2013-04-30,Warrnambool,Australia
11069,23,AW00011069,Carolyn   Navarro,Female,carolyn30@adventure-works.com,Skilled Manual,2011-04-17,Gold Coast,Australia
11070,39,AW00011070,Willie T. Raji,Male,willie40@adventure-works.com,Skilled Manual,2011-04-28,Sunbury,Australia
11071,24,AW00011071,Linda   Serrano,Female,linda31@adventure-works.com,Skilled Manual,2013-03-01,Hawthorne,Australia
